nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
mary CASTILLO,37,ADAMANTINA,SP,50727163922,16230314740408,Válido,Válido
diane SMITH,43,ABREULÂNDIA,TO,23282174438,03407228187914,Válido,Válido
brandy RODRIGUEZ,38,ACRELÂNDIA,AC,20785878181,98544419823199,Válido,Válido
ashley DAWSON,45,ÁGUA BRANCA,AL,05578530524,82243073318691,Válido,Válido
luis ROBERTSON,22,ALVARÃES,AM,76096267750,71575862226679,Válido,Válido
david WILLIAMS,59,SERRA DO NAVIO,AP,20558579752,96268154606605,Válido,Válido
tamara RAMSEY,22,ABAÍRA,BA,60716999080,76872219038204,Válido,Válido
jessica WRIGHT,52,ABAIARA,CE,16531630973,49918377187868,Válido,Válido
tammy CRAIG,51,Brasília,DF,44687771092,44115366309018,Válido,Válido
joshua HICKMAN,75,AFONSO CLÁUDIO,ES,12620151546,17800234232750,Válido,Válido
vincent REEVES,39,ABADIA DE GOIÁS,GO,80867274751,20186632148007,Válido,Válido
colleen COMBS,21,AÇAILÂNDIA,MA,14745453191,79347495817275,Válido,Válido
heather CHAVEZ,72,ABADIA DOS DOURADOS,MG,15240465908,06456806984329,Válido,Válido
jeanne GALLEGOS,60,ÁGUA CLARA,MS,93955904164,69378651980706,Válido,Válido
kimberly DEAN,66,ACORIZAL,MT,03935289103,37441721894490,Válido,Válido
tricia STEWART,80,ABAETETUBA,PA,15475496374,58061159560908,Válido,Válido
lee DIAZ,53,ÁGUA BRANCA,PB,90017057400,28743819050696,Válido,Válido
erika JONES,55,ABREU E LIMA,PE,96212009384,18353541643752,Válido,Válido
suzanne HAYNES,64,ACAUÃ,PI,37347981328,03189333408440,Válido,Válido
david SULLIVAN,78,ABATIÁ,PR,57912733809,21334322690577,Válido,Válido
katherine PETERSEN,45,ANGRA DOS REIS,RJ,05320622210,84809951168463,Válido,Válido
laura JONES,65,ACARI,RN,71283276658,69199078485411,Válido,Válido
melissa KRUEGER,27,ALTA FLORESTA D'OESTE,RO,92457195292,77721716330242,Válido,Válido
jennifer EVANS,50,AMAJARI,RR,75331796176,50783903982536,Válido,Válido
david MARTINEZ,84,ACEGUÁ,RS,23664728971,78098409055839,Válido,Válido
kayla GRAHAM,86,ABDON BATISTA,SC,37307454335,22840173904726,Válido,Válido
catherine HANSEN,20,AMPARO DE SÃO FRANCISCO,SE,19492447843,55418218223534,Válido,Válido
dennis HILL,75,ADAMANTINA,SP,80650888723,93156768284499,Válido,Válido
patrick THOMPSON,75,ABREULÂNDIA,TO,39537474879,61562291935812,Válido,Válido
tammy COLE,23,ACRELÂNDIA,AC,04937191217,98990166718120,Válido,Válido
deborah BENSON,81,ÁGUA BRANCA,AL,15059522393,35448500643173,Válido,Válido
sean SIMPSON,30,ALVARÃES,AM,18453924341,22853711716120,Válido,Válido
elizabeth HENDERSON,29,SERRA DO NAVIO,AP,44325873775,24837962171566,Válido,Válido
jerry NELSON,62,ABAÍRA,BA,39878683176,37840497501610,Válido,Válido
mary SINGLETON,90,ABAIARA,CE,44562320486,63709149531011,Válido,Válido
miguel YOUNG,85,Brasília,DF,45066920129,44876718708505,Válido,Válido
karen GOODWIN,56,AFONSO CLÁUDIO,ES,28819446987,00351134565847,Válido,Válido
becky VELASQUEZ,53,ABADIA DE GOIÁS,GO,42743773189,46978981516208,Válido,Válido
brett GARCIA,38,AÇAILÂNDIA,MA,57551645098,08574473031255,Válido,Válido
natasha CHRISTIAN,42,ABADIA DOS DOURADOS,MG,21065316640,26961538529610,Válido,Válido
julie SWEENEY,20,ÁGUA CLARA,MS,15527018168,95129101444136,Válido,Válido
stephanie ORTIZ,25,ACORIZAL,MT,20966390423,52662190810027,Válido,Válido
monica VALDEZ,49,ABAETETUBA,PA,31444021761,65771647819110,Válido,Válido
robert LEBLANC,59,ÁGUA BRANCA,PB,71838070702,68985537250112,Válido,Válido
charles WIGGINS,37,ABREU E LIMA,PE,10946495033,07306323102235,Válido,Válido
donald COX,51,ACAUÃ,PI,55427011919,49394698718865,Válido,Válido
kenneth CRAIG,52,ABATIÁ,PR,90941491501,85806093864373,Válido,Válido
leonard ADAMS,89,ANGRA DOS REIS,RJ,30162828799,23912564578289,Válido,Válido
emily OCHOA,53,ACARI,RN,97957671438,15256239155050,Válido,Válido
beth RAMOS,86,ALTA FLORESTA D'OESTE,RO,89693780736,02351381917570,Válido,Válido
christopher WILLIAMS,24,AMAJARI,RR,93671952300,65587684994927,Válido,Válido
mary MULLEN,25,ACEGUÁ,RS,39815487795,22132211321260,Válido,Válido
thomas LYONS,25,ABDON BATISTA,SC,30667276025,20081015904895,Válido,Válido
anthony KIM,54,AMPARO DE SÃO FRANCISCO,SE,20350469393,63967105842259,Válido,Válido
tiffany MILLER,71,ADAMANTINA,SP,38448111680,39694126565243,Válido,Válido
margaret HERNANDEZ,69,ABREULÂNDIA,TO,30095418563,69983423210730,Válido,Válido
brandi VAZQUEZ,85,ACRELÂNDIA,AC,70318907569,63004080801427,Válido,Válido
kenneth WEST,89,ÁGUA BRANCA,AL,85490153342,22754185274963,Válido,Válido
amy FLORES,57,ALVARÃES,AM,59161193569,69936040468555,Válido,Válido
jessica REED,26,SERRA DO NAVIO,AP,12076271945,73749294021391,Válido,Válido
nicholas YOUNG,79,ABAÍRA,BA,39672270577,66616335547502,Válido,Válido
mary WARD,76,ABAIARA,CE,13249093408,53080372953325,Válido,Válido
brett HUBER,63,Brasília,DF,23294804237,35050192734943,Válido,Válido
william MILLS,63,AFONSO CLÁUDIO,ES,09982289748,15540745985001,Válido,Válido
jennifer PRICE,32,ABADIA DE GOIÁS,GO,30486264254,90652802232894,Válido,Válido
kelly GREEN,26,AÇAILÂNDIA,MA,34618313790,56707716346998,Válido,Válido
benjamin EVANS,72,ABADIA DOS DOURADOS,MG,15241418016,26690643184908,Válido,Válido
andrea KLEIN,46,ÁGUA CLARA,MS,16679195470,97611296012044,Válido,Válido
shane SCOTT,20,ACORIZAL,MT,62728048142,78736155126874,Válido,Válido
joseph BROWN,29,ABAETETUBA,PA,54813026320,23878106172487,Válido,Válido
david HAMILTON,85,ÁGUA BRANCA,PB,18905202179,01477431168716,Válido,Válido
kyle DAVID,18,ABREU E LIMA,PE,37761469407,12557523988363,Válido,Válido
samantha ROJAS,74,ACAUÃ,PI,03249910104,87915072666439,Válido,Válido
joshua ROMAN,32,ABATIÁ,PR,70557855705,79738103427670,Válido,Válido
travis ROMERO,19,ANGRA DOS REIS,RJ,85685407408,76433149498604,Válido,Válido
susan SINGH,29,ACARI,RN,66172668030,99958520600010,Válido,Válido
gabriella MORALES,60,ALTA FLORESTA D'OESTE,RO,56174761061,50966294597215,Válido,Válido
kylie SIMMONS,80,AMAJARI,RR,53878919999,99717481059945,Válido,Válido
barry HOLLAND,49,ACEGUÁ,RS,84367596567,09650920480318,Válido,Válido
timothy WILLIAMSON,37,ABDON BATISTA,SC,51414694920,83783583570208,Válido,Válido
susan SMITH,25,AMPARO DE SÃO FRANCISCO,SE,47747040911,04170122667602,Válido,Válido
rick ORTIZ,54,ADAMANTINA,SP,95532953120,55259043289668,Válido,Válido
wayne HERRERA,36,ABREULÂNDIA,TO,62673608222,34025063423503,Válido,Válido
lisa GIBSON,34,ACRELÂNDIA,AC,71505156068,00652734816511,Válido,Válido
jennifer EVANS,25,ÁGUA BRANCA,AL,92094984613,43427606380606,Válido,Válido
heather BROWN,62,ALVARÃES,AM,01295898454,99823808707809,Válido,Válido
allison ROBINSON,84,SERRA DO NAVIO,AP,94837667376,25619083634300,Válido,Válido
amanda HOOVER,35,ABAÍRA,BA,62762116058,58251657988786,Válido,Válido
david CAMPOS,44,ABAIARA,CE,28844510642,67557131605489,Válido,Válido
frances GROSS,65,Brasília,DF,34521210627,78742681052380,Válido,Válido
matthew DUNN,23,AFONSO CLÁUDIO,ES,21219758450,57150746044651,Válido,Válido
john HILL,73,ABADIA DE GOIÁS,GO,50481439145,80844160135752,Válido,Válido
melvin CORDOVA,81,AÇAILÂNDIA,MA,29542268467,24076086795890,Válido,Válido
rebecca SMITH,21,ABADIA DOS DOURADOS,MG,08369965504,37664084053700,Válido,Válido
jeffrey BROWN,58,ÁGUA CLARA,MS,12599398207,59311271244913,Válido,Válido
amber SMITH,89,ACORIZAL,MT,06768161857,69079632478641,Válido,Válido
rebecca CLAY,62,ABAETETUBA,PA,18731098657,99602610291429,Válido,Válido
timothy HAWKINS,31,ÁGUA BRANCA,PB,26823790873,97473391804553,Válido,Válido
dalton HUDSON,62,ABREU E LIMA,PE,12015551328,81010269044522,Válido,Válido
jon RODRIGUEZ,71,ACAUÃ,PI,52497815275,46466785562434,Válido,Válido
april YOUNG,23,ABATIÁ,PR,37028542238,51543711815619,Válido,Válido
james LEWIS,62,ANGRA DOS REIS,RJ,86052993804,94530908112897,Válido,Válido
philip KING,30,ACARI,RN,63168714143,49770578801712,Válido,Válido
samantha TAYLOR,73,ALTA FLORESTA D'OESTE,RO,50443753652,91569473704728,Válido,Válido
brenda WALKER,32,AMAJARI,RR,35651581073,36919751801598,Válido,Válido
angela WILLIAMS,59,ACEGUÁ,RS,82219447855,76313140327938,Válido,Válido
ricky MAY,55,ABDON BATISTA,SC,63154470158,94858835402199,Válido,Válido
gerald HART,42,AMPARO DE SÃO FRANCISCO,SE,03508477118,49099478338224,Válido,Válido
connie CUNNINGHAM,51,ADAMANTINA,SP,20432408975,58040061049927,Válido,Válido
luis HARMON,59,ABREULÂNDIA,TO,13915989975,70620557054383,Válido,Válido
christine COLEMAN,65,ACRELÂNDIA,AC,55840569011,23831553312169,Válido,Válido
peter HORN,80,ÁGUA BRANCA,AL,67080015430,48267034737311,Válido,Válido
gerald ROMERO,18,ALVARÃES,AM,96422339160,29841878691452,Válido,Válido
peter SMITH,20,SERRA DO NAVIO,AP,15930753750,83585267754969,Válido,Válido
sandra MADDEN,53,ABAÍRA,BA,68412243617,82071546568056,Válido,Válido
george FAULKNER,37,ABAIARA,CE,81322071900,73407005301140,Válido,Válido
christopher LANG,54,Brasília,DF,02560584077,86022534318223,Válido,Válido
charles JAMES,87,AFONSO CLÁUDIO,ES,99795884204,64215362516405,Válido,Válido
amy MOODY,57,ABADIA DE GOIÁS,GO,50074155539,08834313254418,Válido,Válido
colleen WEST,83,AÇAILÂNDIA,MA,44785302623,17975178771076,Válido,Válido
richard KELLER,21,ABADIA DOS DOURADOS,MG,38887631859,77591942384429,Válido,Válido
mary SMITH,40,ÁGUA CLARA,MS,23946952429,85016900958170,Válido,Válido
joseph PATEL,18,ACORIZAL,MT,64449664779,36637188065761,Válido,Válido
michael MENDOZA,49,ABAETETUBA,PA,22548698092,60851521356957,Válido,Válido
dillon EDWARDS,70,ÁGUA BRANCA,PB,83205685792,79941658129606,Válido,Válido
jon OLSON,53,ABREU E LIMA,PE,11499377770,93504099442401,Válido,Válido
linda JOHNSON,89,ACAUÃ,PI,65116458199,49856466204853,Válido,Válido
alex JACKSON,39,ABATIÁ,PR,97836921867,44723566852970,Válido,Válido
brianna MORRISON,58,ANGRA DOS REIS,RJ,13202062476,57373594196162,Válido,Válido
rachel CARRILLO,29,ACARI,RN,57332289385,63360747443404,Válido,Válido
sean WARREN,22,ALTA FLORESTA D'OESTE,RO,58202416736,80254147184019,Válido,Válido
debra SMITH,82,AMAJARI,RR,14079622058,14835687397138,Válido,Válido
lindsey MIDDLETON,87,ACEGUÁ,RS,89436323123,55991868562000,Válido,Válido
james SWANSON,86,ABDON BATISTA,SC,66006539306,25579031094301,Válido,Válido
christopher COLLINS,48,AMPARO DE SÃO FRANCISCO,SE,60023456043,66410607332827,Válido,Válido
megan GONZALEZ,72,ADAMANTINA,SP,14891133392,42782543979227,Válido,Válido
kaylee LIVINGSTON,51,ABREULÂNDIA,TO,42577998112,14272911381550,Válido,Válido
michele HALL,49,ACRELÂNDIA,AC,33050532327,56436760398978,Válido,Válido
karen ORTIZ,40,ÁGUA BRANCA,AL,24113082057,18996221325778,Válido,Válido
willie MATTHEWS,25,ALVARÃES,AM,70152446834,19830275269554,Válido,Válido
sara STEWART,20,SERRA DO NAVIO,AP,75531766483,23795083317275,Válido,Válido
natalie MARSHALL,52,ABAÍRA,BA,77603663296,67465053046221,Válido,Válido
cassandra BOYER,64,ABAIARA,CE,43430769035,37421778144348,Válido,Válido
kimberly DIXON,36,Brasília,DF,25395977775,79968693273566,Válido,Válido
heather MARTINEZ,27,AFONSO CLÁUDIO,ES,41417947160,18292940840661,Válido,Válido
michael CASTILLO,40,ABADIA DE GOIÁS,GO,46531141298,88266738839120,Válido,Válido
donald BUTLER,69,AÇAILÂNDIA,MA,37104512217,86124764855630,Válido,Válido
john BUCKLEY,22,ABADIA DOS DOURADOS,MG,52713401127,04664013031186,Válido,Válido
stacy BURNS,37,ÁGUA CLARA,MS,71321635583,16971133795326,Válido,Válido
tara BRYANT,90,ACORIZAL,MT,29444307425,42541054867728,Válido,Válido
sandra ZIMMERMAN,66,ABAETETUBA,PA,27603675413,49004646544403,Válido,Válido
joel MANN,43,ÁGUA BRANCA,PB,10360612130,09479412769220,Válido,Válido
william STEVENSON,88,ABREU E LIMA,PE,75814519509,55768446372700,Válido,Válido
wendy LUTZ,32,ACAUÃ,PI,89607391705,72842501432263,Válido,Válido
daniel COOK,44,ABATIÁ,PR,12122089270,56744541431910,Válido,Válido
diana COOPER,77,ANGRA DOS REIS,RJ,93411377488,09293359073648,Válido,Válido
emily MITCHELL,53,ACARI,RN,65790307205,01960108628554,Válido,Válido
jean RUSSELL,68,ALTA FLORESTA D'OESTE,RO,26567209402,82840330033759,Válido,Válido
brian DAVENPORT,70,AMAJARI,RR,72810658331,42070529361817,Válido,Válido
mary CARPENTER,64,ACEGUÁ,RS,94942552087,86393900304977,Válido,Válido
jacqueline MARSHALL,35,ABDON BATISTA,SC,54892504297,74504973507347,Válido,Válido
andrew HALL,41,AMPARO DE SÃO FRANCISCO,SE,85227651205,37422504191371,Válido,Válido
brenda GARCIA,18,ADAMANTINA,SP,84146613949,21750983621697,Válido,Válido
gene MEJIA,74,ABREULÂNDIA,TO,36916062533,10789614989109,Válido,Válido
rachel JACKSON,63,ACRELÂNDIA,AC,71208752723,81995833787808,Válido,Válido
erik ARNOLD,28,ÁGUA BRANCA,AL,52388997429,67879078290261,Válido,Válido
megan WHITE,38,ALVARÃES,AM,91658257308,80805162969676,Válido,Válido
barbara BECKER,48,SERRA DO NAVIO,AP,86303101461,57170905610383,Válido,Válido
jamie LUTZ,46,ABAÍRA,BA,53065604825,22462061473435,Válido,Válido
donna HART,83,ABAIARA,CE,87881614390,52790883451275,Válido,Válido
thomas WALLACE,58,Brasília,DF,99374520583,71410192566903,Válido,Válido
shari MEYERS,43,AFONSO CLÁUDIO,ES,02532896450,08846239546825,Válido,Válido
heather CHARLES,70,ABADIA DE GOIÁS,GO,63692802595,60173087387963,Válido,Válido
michelle ANDERSON,31,AÇAILÂNDIA,MA,53296353909,24280579015345,Válido,Válido
michelle KAUFMAN,33,ABADIA DOS DOURADOS,MG,42290975737,29056267036292,Válido,Válido
jennifer RAMIREZ,30,ÁGUA CLARA,MS,94496575051,10721199636313,Válido,Válido
lindsay MEYER,26,ACORIZAL,MT,86767702803,37238940844020,Válido,Válido
carolyn ROSS,52,ABAETETUBA,PA,61391209265,70842699129077,Válido,Válido
stephanie SANCHEZ,69,ÁGUA BRANCA,PB,61032578084,79114525543152,Válido,Válido
cynthia MCCARTY,26,ABREU E LIMA,PE,36805983274,89260394268603,Válido,Válido
james WHITE,19,ACAUÃ,PI,16672776850,83500581935440,Válido,Válido
timothy MILLER,30,ABATIÁ,PR,35637391378,94815814298607,Válido,Válido
amy WELLS,58,ANGRA DOS REIS,RJ,80861337379,36735594908527,Válido,Válido
felicia WILLIAMS,52,ACARI,RN,70432516050,25209341662669,Válido,Válido
scott NGUYEN,85,ALTA FLORESTA D'OESTE,RO,66444347700,81571979297063,Válido,Válido
scott MILLER,30,AMAJARI,RR,24733856709,84374951155823,Válido,Válido
kenneth ROBINSON,65,ACEGUÁ,RS,89046447049,03478327713125,Válido,Válido
karen REYNOLDS,34,ABDON BATISTA,SC,98724348406,98991467840569,Válido,Válido
anna MARTINEZ,51,AMPARO DE SÃO FRANCISCO,SE,76517173099,46466100775607,Válido,Válido
theresa FISHER,83,ADAMANTINA,SP,76335541696,12379934989540,Válido,Válido
james JOYCE,86,ABREULÂNDIA,TO,35365209605,10913441117400,Válido,Válido
richard YANG,44,ACRELÂNDIA,AC,86693865933,64092875512128,Válido,Válido
drew MEDINA,46,ÁGUA BRANCA,AL,37909777051,82139415227150,Válido,Válido
dawn MENDOZA,65,ALVARÃES,AM,60478943997,72044507860335,Válido,Válido
david COFFEY,37,SERRA DO NAVIO,AP,08073044331,30821708913650,Válido,Válido
victoria COX,58,ABAÍRA,BA,56123358812,10188695685567,Válido,Válido
kristine SMITH,37,ABAIARA,CE,94352041556,96593586407060,Válido,Válido
charles CAMPBELL,19,Brasília,DF,10527615269,75223094530557,Válido,Válido
steve HOWARD,50,AFONSO CLÁUDIO,ES,85984138107,01807173611307,Válido,Válido
robert MILLER,86,ABADIA DE GOIÁS,GO,06069608305,84160746136488,Válido,Válido
amy FLETCHER,90,AÇAILÂNDIA,MA,36841136705,06225001796535,Válido,Válido
robert SMITH,33,ABADIA DOS DOURADOS,MG,48612252210,73970589644447,Válido,Válido
david SMITH,29,ÁGUA CLARA,MS,11160111820,35986831796400,Válido,Válido
mario GOLDEN,23,ACORIZAL,MT,76117023600,85004727235750,Válido,Válido
christopher GARCIA,23,ABAETETUBA,PA,66727071314,16037346820673,Válido,Válido
matthew WILLIAMS,79,ÁGUA BRANCA,PB,78819373351,94227876864121,Válido,Válido
pamela STEPHENS,25,ABREU E LIMA,PE,11886300593,11244019369608,Válido,Válido
laura ADAMS,23,ACAUÃ,PI,73813087204,53209356694270,Válido,Válido
timothy PHILLIPS,24,ABATIÁ,PR,58307952301,40062912787960,Válido,Válido
vickie TAYLOR,86,ANGRA DOS REIS,RJ,72511347725,00301079095809,Válido,Válido
geoffrey COX,63,ACARI,RN,39495002354,61553700387183,Válido,Válido
tony THOMAS,21,ALTA FLORESTA D'OESTE,RO,74086187590,12867923471917,Válido,Válido
natasha BECK,47,AMAJARI,RR,72159394483,78697920194709,Válido,Válido
charles GREGORY,40,ACEGUÁ,RS,18384538492,94442141560596,Válido,Válido
david DAWSON,77,ABDON BATISTA,SC,63573089356,89102981044644,Válido,Válido
john LEE,87,AMPARO DE SÃO FRANCISCO,SE,19924384555,94101059483080,Válido,Válido
justin MCGEE,61,ADAMANTINA,SP,22963567022,95968476447296,Válido,Válido
austin NORRIS,21,ABREULÂNDIA,TO,65221301733,94121418289257,Válido,Válido
shawn RAMOS,26,ACRELÂNDIA,AC,06904709324,89644813959514,Válido,Válido
robert RAMIREZ,51,ÁGUA BRANCA,AL,78737313169,35261783387801,Válido,Válido
justin DAVIS,19,ALVARÃES,AM,22963328460,05725613054706,Válido,Válido
kristy BLACK,78,SERRA DO NAVIO,AP,21682446344,26577962931820,Válido,Válido
tracy GONZALEZ,29,ABAÍRA,BA,65675158057,54721137323508,Válido,Válido
rebecca MORRISON,25,ABAIARA,CE,95675936807,41691759616766,Válido,Válido
alexa MILLS,19,Brasília,DF,31294817531,67435238491505,Válido,Válido
megan SPARKS,78,AFONSO CLÁUDIO,ES,06574351472,99985825290402,Válido,Válido
molly MARTINEZ,40,ABADIA DE GOIÁS,GO,29585573750,57703010361634,Válido,Válido
cristina BRIDGES,77,AÇAILÂNDIA,MA,48938459772,78853911817406,Válido,Válido
michael HUGHES,89,ABADIA DOS DOURADOS,MG,36223959230,87198190409900,Válido,Válido
roberto SULLIVAN,33,ÁGUA CLARA,MS,92535134705,66050176651000,Válido,Válido
brooke BRYANT,68,ACORIZAL,MT,04073413902,98326502117807,Válido,Válido
kathy FRANKLIN,54,ABAETETUBA,PA,17514994998,81567087702376,Válido,Válido
diane LEE,19,ÁGUA BRANCA,PB,66085615477,18190326658114,Válido,Válido
kim ADAMS,28,ABREU E LIMA,PE,21938290399,94643792997560,Válido,Válido
laura TUCKER,20,ACAUÃ,PI,29402702520,77241110589378,Válido,Válido
christina ROTH,87,ABATIÁ,PR,16628302709,78639552442665,Válido,Válido
angel LOPEZ,34,ANGRA DOS REIS,RJ,44479147780,05299314902359,Válido,Válido
lisa ROBERTSON,83,ACARI,RN,59550371360,87844051558073,Válido,Válido
mary GARCIA,66,ALTA FLORESTA D'OESTE,RO,45125853704,77874010630877,Válido,Válido
jill THOMAS,40,AMAJARI,RR,16319052368,58464513819191,Válido,Válido
amy CLEMENTS,85,ACEGUÁ,RS,51338781413,18628996459134,Válido,Válido
sarah LONG,66,ABDON BATISTA,SC,16838567679,97835660206687,Válido,Válido
steven CHANDLER,49,AMPARO DE SÃO FRANCISCO,SE,30512802165,36186906692059,Válido,Válido
jason JOHNSON,46,ADAMANTINA,SP,96960493315,29861783977124,Válido,Válido
madison BROWN,70,ABREULÂNDIA,TO,17247779470,10434083128900,Válido,Válido
eric HARVEY,37,ACRELÂNDIA,AC,71227421567,78714018703810,Válido,Válido
timothy BRENNAN,18,ÁGUA BRANCA,AL,23032501610,77109203308603,Válido,Válido
nancy DELGADO,65,ALVARÃES,AM,14547824126,18136599439624,Válido,Válido
michael MILLER,32,SERRA DO NAVIO,AP,52308337184,06149558176315,Válido,Válido
elizabeth WATTS,44,ABAÍRA,BA,45483968026,81882095282260,Válido,Válido
brandy RANGEL,28,ABAIARA,CE,76866018706,63262979824067,Válido,Válido
ralph ARNOLD,41,Brasília,DF,13949329790,32749286945373,Válido,Válido
julia GLENN,79,AFONSO CLÁUDIO,ES,15556708576,80278835780800,Válido,Válido
mary WHITE,67,ABADIA DE GOIÁS,GO,96102881974,22174778960633,Válido,Válido
adam HALE,83,AÇAILÂNDIA,MA,98906596383,56401076650390,Válido,Válido
philip PHELPS,22,ABADIA DOS DOURADOS,MG,19668301811,80214727967192,Válido,Válido
rickey OSBORN,59,ÁGUA CLARA,MS,61985828928,53142060606844,Válido,Válido
alexis ROBERSON,89,ACORIZAL,MT,88362204109,22053725154579,Válido,Válido
jacob GRAY,22,ABAETETUBA,PA,12249213720,77036841073903,Válido,Válido
nicholas ROSALES,76,ÁGUA BRANCA,PB,75135355235,21392961306241,Válido,Válido
victoria MACDONALD,41,ABREU E LIMA,PE,68457997920,14850896191617,Válido,Válido
rebecca PARKER,46,ACAUÃ,PI,78944653720,30705091666413,Válido,Válido
rhonda WANG,80,ABATIÁ,PR,57018995000,57007303794958,Válido,Válido
megan COX,29,ANGRA DOS REIS,RJ,09280244906,11862838974210,Válido,Válido
susan PHILLIPS,27,ACARI,RN,85593885249,35118833934961,Válido,Válido
cynthia JACKSON,20,ALTA FLORESTA D'OESTE,RO,55306618154,98221862158958,Válido,Válido
megan ARNOLD,41,AMAJARI,RR,70944093469,03339494423197,Válido,Válido
wendy BAKER,60,ACEGUÁ,RS,19952620721,83621300697809,Válido,Válido
erin BULLOCK,25,ABDON BATISTA,SC,11593480571,31182822370174,Válido,Válido
christopher BRYANT,53,AMPARO DE SÃO FRANCISCO,SE,01302538470,69878832563343,Válido,Válido
rhonda MUNOZ,36,ADAMANTINA,SP,00443698244,81565803262394,Válido,Válido
christopher YATES,90,ABREULÂNDIA,TO,62215209917,39060225098713,Válido,Válido
taylor WOOD,83,ACRELÂNDIA,AC,33368309315,55799722846847,Válido,Válido
joyce WATERS,58,ÁGUA BRANCA,AL,70128984619,23545895415434,Válido,Válido
philip DAVIS,86,ALVARÃES,AM,67018070201,44089700516737,Válido,Válido
brian TRAN,33,SERRA DO NAVIO,AP,90879848120,33159972844089,Válido,Válido
kevin WALKER,34,ABAÍRA,BA,82375286200,45254081118438,Válido,Válido
frank TREVINO,31,ABAIARA,CE,40857244361,82107261209133,Válido,Válido
joel BROOKS,84,Brasília,DF,08376598333,56240245087165,Válido,Válido
taylor JAMES,56,AFONSO CLÁUDIO,ES,20372740090,99258310472509,Válido,Válido
eric COX,56,ABADIA DE GOIÁS,GO,38366797015,67574161449949,Válido,Válido
barbara ROSALES,48,AÇAILÂNDIA,MA,05422320905,83117515951181,Válido,Válido
paul EVANS,34,ABADIA DOS DOURADOS,MG,86399364477,26668944095754,Válido,Válido
steven GALLEGOS,62,ÁGUA CLARA,MS,45396429445,56067411199052,Válido,Válido
erika GARCIA,77,ACORIZAL,MT,36463101206,42809235036017,Válido,Válido
wanda SCOTT,50,ABAETETUBA,PA,69046164152,53581043795274,Válido,Válido
nicole PENA,53,ÁGUA BRANCA,PB,42123967939,86840466524535,Válido,Válido
matthew NOBLE,61,ABREU E LIMA,PE,15188007509,94800282088494,Válido,Válido
amanda RUSSO,33,ACAUÃ,PI,53178307702,11674134008008,Válido,Válido
mckenzie THOMPSON,27,ABATIÁ,PR,95705928009,07558158609613,Válido,Válido
tyrone JAMES,43,ANGRA DOS REIS,RJ,51845397940,51700907811259,Válido,Válido
david MARTIN,89,ACARI,RN,29559108484,10404188283989,Válido,Válido
kristina JONES,29,ALTA FLORESTA D'OESTE,RO,75949371550,92562422789970,Válido,Válido
miranda MEJIA,69,AMAJARI,RR,05196213872,31212769257050,Válido,Válido
matthew ELLIS,40,ACEGUÁ,RS,30858895315,72586295941741,Válido,Válido
caroline GONZALES,49,ABDON BATISTA,SC,81569865639,27693596692825,Válido,Válido
steven SALAS,30,AMPARO DE SÃO FRANCISCO,SE,49585751704,47899512077580,Válido,Válido
christina SCOTT,65,ADAMANTINA,SP,83068534402,65336468966883,Válido,Válido
alyssa BULLOCK,70,ABREULÂNDIA,TO,55836292825,80313623914791,Válido,Válido
darrell DAWSON,47,ACRELÂNDIA,AC,22913866549,99435988989563,Válido,Válido
roger DAVIS,58,ÁGUA BRANCA,AL,38660282701,90683622050682,Válido,Válido
jamie PARKS,80,ALVARÃES,AM,05387389010,47941774857227,Válido,Válido
brittney CLAYTON,47,SERRA DO NAVIO,AP,35448687415,90682668020699,Válido,Válido
gregory REYNOLDS,56,ABAÍRA,BA,46704391207,37882548462590,Válido,Válido
mitchell WARREN,42,ABAIARA,CE,44625291976,11296239276598,Válido,Válido
tara FOSTER,58,Brasília,DF,59695276458,72143881365036,Válido,Válido
rodney HAMILTON,45,AFONSO CLÁUDIO,ES,96636887770,22449322085630,Válido,Válido
joseph ROBINSON,50,ABADIA DE GOIÁS,GO,02027985263,27752923428342,Válido,Válido
robert JONES,57,AÇAILÂNDIA,MA,84613955149,12054337113950,Válido,Válido
audrey JONES,33,ABADIA DOS DOURADOS,MG,74804400141,26494296468385,Válido,Válido
courtney LANE,73,ÁGUA CLARA,MS,57246039856,88289040894490,Válido,Válido
steven COBB,49,ACORIZAL,MT,20752723529,97339398932666,Válido,Válido
jessica HALE,31,ABAETETUBA,PA,54628154333,72523503121103,Válido,Válido
david VELASQUEZ,58,ÁGUA BRANCA,PB,16130732163,99462230624184,Válido,Válido
william BRYAN,22,ABREU E LIMA,PE,02560515342,88762394885176,Válido,Válido
ashley BAILEY,25,ACAUÃ,PI,40266649610,79081699213107,Válido,Válido
jonathan JOHNSON,52,ABATIÁ,PR,54219195017,43791922727603,Válido,Válido
amy WATERS,18,ANGRA DOS REIS,RJ,00704971097,39921842050216,Válido,Válido
jared JOHNSON,19,ACARI,RN,95927363326,26823615360906,Válido,Válido
jillian BARKER,32,ALTA FLORESTA D'OESTE,RO,90122146964,23180556224485,Válido,Válido
brianna GREEN,66,AMAJARI,RR,80307251756,64725611097833,Válido,Válido
jackson MUNOZ,40,ACEGUÁ,RS,33515667865,90819632199310,Válido,Válido
james RIVERA,82,ABDON BATISTA,SC,71664982426,09224010616534,Válido,Válido
